accel_x,accel_y,accel_z,
5.3266995E-4,-0.0033206958,0.14738396,
8.2719326E-4,-0.0033781645,0.1474657,
0.0027204747,-0.0014455165,0.14465126,
0.0012082588,-7.0264307E-4,0.14547098,
0.0015586491,1.0945997E-4,0.14739719,
0.0015778756,-5.1835435E-4,0.15095082,
0.003113404,3.3093058E-4,0.1488705,
0.0033272016,9.007903E-4,0.1473576,
0.0019470239,-3.2317895E-4,0.14531638,
-4.9263844E-4,-0.001146269,0.14792253,
2.7279835E-4,-0.0011786534,0.14718123,
2.1673553E-4,-0.0018794163,0.14383918,
-2.2030296E-4,-0.0015161054,0.1437165,
8.058781E-5,-0.0016116943,0.14514248,
0.0027735177,-0.00415157,0.14578158,
8.575637E-4,-0.0057472344,0.14439665,
-6.094668E-4,-0.004033562,0.14168656,
-3.2771286E-4,-0.0017191829,0.14093524,
-0.0061107995,-0.0039684065,0.14617942,
-0.0089823585,-0.00572902,0.14745009,
-0.003746314,-0.0038564054,0.1447066,
-0.0045020394,-0.001709555,0.14209619,
-0.005747934,-0.0031226764,0.1447435,
-0.0055057677,-0.0041132215,0.14730118,
-0.003150898,-0.0033663108,0.14895219,
-0.00245767,-0.0012799748,0.14604159,
-0.0030457075,-8.961621E-4,0.14419907,
-0.005751284,-0.0010830546,0.14817443,
-0.0029700808,-0.0023023335,0.15092598,
-0.0038006757,-0.004696276,0.14876848,
-0.0033278493,-0.004470569,0.14574187,
-4.581553E-4,-0.0030978057,0.14757596,
-0.0021481146,-0.004314035,0.15043621,
1.6454654E-4,-0.0032598912,0.15121908,
0.0016340427,-0.0034003127,0.14716066,
4.890957E-4,-0.0036488161,0.14505999,
0.001147896,-0.0025430152,0.14575532,
0.002960585,-0.0030183827,0.14790785,
0.0028228462,-0.002461642,0.14695013,
0.0012306366,-0.004470355,0.14413595,
0.001295107,-0.0036159288,0.14333576,
0.0011016685,-0.0032337788,0.14688441,
-7.147291E-4,-0.0021261922,0.14920057,
7.8265555E-5,-0.0032894548,0.14542234,
4.2945286E-4,-0.0028304192,0.14292172,
0.0030273008,-0.001077492,0.14470896,
-1.8800702E-4,-0.002147968,0.14744946,
-9.0828165E-4,-0.0022237808,0.14553231,
5.2040536E-4,6.2638894E-5,0.1447063,
-0.0021458901,0.0011113025,0.14211927,
-0.0029649064,7.584458E-6,0.14355108,
-0.0020040073,-6.484948E-4,0.14488772,
-0.001697178,-9.834403E-4,0.14454255,
-0.0043331175,9.231516E-4,0.14381924,
-0.0026024305,-5.7137944E-4,0.14471531,
0.0015314426,5.4345164E-4,0.1481544,
-0.0029578428,4.5845844E-4,0.1507854,
-0.0010988335,-0.0034784926,0.14603005,
7.897797E-4,-0.0074336603,0.14494294,
0.0011839974,-0.0055629304,0.14710666,
-6.75221E-4,-0.0047579957,0.1503286,
-5.132989E-4,-0.0037932112,0.14795193,
-2.3609167E-4,3.4589716E-4,0.14768843,
0.0036402992,-0.0023923288,0.14625156,
0.0014569494,-0.0047509205,0.15077588,
-0.0036742268,5.489271E-4,0.15265372,
-0.00452192,-7.736399E-4,0.14816932,
-3.4390343E-4,0.0020999615,0.14535443,
-1.7439947E-4,0.001453432,0.14696683,
-0.0031890506,6.003403E-4,0.14883332,
-6.328253E-4,0.001076262,0.146476,
-0.0028030127,-0.004354124,0.14614032,
2.2819312E-4,-0.004470779,0.14772904,
-8.510426E-6,-0.0032122773,0.15139475,
-0.0013262788,-0.0044752513,0.15144232,
3.385651E-4,-0.0025134345,0.14882638,
0.0021302036,-0.0047658077,0.14913535,
0.0010158527,-0.002530026,0.15243664,
0.003315886,-0.0014689215,0.15160386,
0.0018931939,-0.0013711976,0.14647672,
-9.742565E-6,-7.4687996E-4,0.1462477,
0.0013973091,-5.6494586E-4,0.14846969,
0.0014364198,-6.7963335E-4,0.15027574,
-4.1090976E-4,-0.0015594556,0.14829753,
7.878109E-4,-0.0033972436,0.1434836,
4.584659E-4,-0.0021634991,0.14441255,
0.0014922544,-0.0034239753,0.1482898,
0.004479981,-0.0022530593,0.14826007,
0.0046761073,-0.003651494,0.14645436,
0.0037623704,-0.0029916645,0.14508842,
0.0035027717,-6.154869E-4,0.14498228,
0.001536398,-6.0235406E-4,0.14670235,
0.002221863,-5.51675E-4,0.14609145,
0.0029243478,2.0319875E-4,0.14238219,
0.0020648446,-1.004315E-5,0.14494804,
0.0033939504,0.0013378982,0.14828904,
0.00336992,-0.0016477981,0.14706418,
0.005166701,0.0037455421,0.1466878,
-2.1340791E-4,-0.0041415626,0.14439406,
-0.005628701,-0.006754439,0.14843245,
-0.0038203383,-0.0087690605,0.15098272,
-0.0062732953,-0.0092134075,0.14910814,
-0.008289069,-0.0069413474,0.14564493,
-0.007975731,-0.006575628,0.14589043,
-0.00470869,-0.0038203814,0.14880055,
-0.0062923054,-0.0035100752,0.15014195,
-0.0058250446,-0.0022082357,0.15046443,
-0.0033990587,-7.1160356E-4,0.14850989,
2.055699E-4,-1.995801E-5,0.14831401,
-0.0010539345,7.951509E-4,0.1503357,
0.0012127431,8.9855026E-4,0.14788106,
0.0032377983,0.001104044,0.14471625,
0.003370076,7.0076063E-4,0.14628755,
0.0024262976,6.656861E-4,0.14782445,
0.0015065577,5.270443E-4,0.14989626,
0.0026630599,0.0015428585,0.14792942,
0.004141665,0.0020389212,0.14644574,
0.0016596531,0.0016111776,0.14727165,
0.002351925,0.0030270636,0.15015931,
0.0030954652,0.0019554333,0.15049243,
0.0032052342,0.002496163,0.1479351,
0.0032359427,0.0016737145,0.14657752,
0.0036256784,0.0014664037,0.14668384,
0.0010265401,0.001679582,0.14974463,
4.917523E-4,0.0028417704,0.14989004,
3.6035664E-5,0.0022991155,0.14841494,
-2.9239105E-4,0.0036994908,0.1488341,
5.6211837E-5,0.0038880783,0.15128364,
2.5989302E-4,0.0028258183,0.15189974,
-0.0012927512,0.0021583126,0.15029895,
-0.0011662995,9.3733054E-4,0.14799787,
-7.4986834E-5,0.0015295332,0.14831388,
-0.0026658373,0.0028079024,0.15145652,
-0.0023219264,0.0024335082,0.15170267,
-0.0030260896,0.002133031,0.14870012,
-0.0024151248,0.0026828963,0.14771123,
-0.0019549015,0.0025715071,0.14870524,
-0.0013106428,8.350734E-4,0.14909418,
-4.0044263E-4,7.959856E-4,0.14870661,
2.8956076E-4,7.4858987E-4,0.14492212,
0.0013817414,2.7510663E-4,0.1444998,
3.830134E-4,3.9228424E-4,0.14782667,
0.001727928,-0.0010784017,0.14954112,
-3.2249466E-4,-0.0010394049,0.14828865,
-0.001062748,0.0015221038,0.14636178,
-2.6552333E-4,0.001211425,0.14915048,
-0.0025991653,0.0014838751,0.15256411,
-0.0037254482,0.002550722,0.1527808,
-0.002155119,0.0027483625,0.14926352,
-0.0018924531,0.0022912803,0.14910352,
-0.001845594,0.0012388795,0.15088078,
5.720807E-4,0.0010559107,0.15259889,
0.0012400609,0.001138713,0.14803483,
1.4207885E-4,0.0019890647,0.14733042,
6.499104E-4,0.0015177638,0.14704883,
-2.2833701E-5,1.4549098E-4,0.1512619,
-0.0014871648,8.192302E-4,0.151354,
-0.0010630949,0.0012921216,0.14826348,
-1.6965764E-4,0.001970163,0.14650063,
7.5681135E-5,0.0013670255,0.14759144,
0.0012883325,0.0014370531,0.14880352,
5.479376E-4,0.0015190265,0.14731623,
8.7663205E-4,0.001748869,0.14310685,
3.7064636E-4,6.306013E-4,0.14332183,
1.1830125E-5,0.0016217576,0.14689007,
-4.6685012E-4,0.0010965334,0.1467288,
-6.2760105E-4,8.142686E-4,0.14863561,
-8.6373044E-4,0.0022471307,0.1461352,
5.79949E-4,0.0027178477,0.14418446,
0.0018308777,0.003048816,0.1438141,
0.0010814297,0.0037905811,0.14538069,
8.476828E-4,0.00317492,0.14743069,
6.671995E-4,0.0033353248,0.14645371,
4.4704415E-5,0.0025179787,0.1443482,
-6.7187427E-4,0.0015587315,0.14325857,
-0.0010952009,0.002438247,0.14182617,
-0.001041044,0.0027369845,0.1441319,
-8.323719E-4,0.0029603825,0.14537358,
-9.374432E-4,0.0027261341,0.14828102,
-7.524248E-4,8.0608716E-4,0.15032136,
-0.003069168,6.209493E-4,0.14979595,
-0.0022383858,0.0015527997,0.14824016,
-0.0016474347,0.0018860695,0.14447321,
-0.0020797886,0.0033320847,0.14343256,
-0.0015241224,0.0022966524,0.14299746,
-0.0014383527,0.0012797145,0.14265582,
1.652739E-4,0.0016708551,0.14391732,
1.9383756E-4,0.0021421537,0.14568973,
-0.0014589452,0.0012130723,0.14677373,
-6.899913E-4,9.522785E-4,0.14842129,
-6.8387296E-4,9.213267E-4,0.1483255,
-7.7951886E-4,-1.19072385E-4,0.14822905,
-9.144023E-4,-5.0734123E-4,0.14828448,
-0.0010639094,-1.4999742E-4,0.1481066,
-5.66822E-4,0.0010289021,0.14688787,
-0.0014265147,0.00181438,0.14786777,
-9.7399764E-4,0.001748936,0.14752261,
-0.001946961,0.002555822,0.14791207,
-0.0021629967,0.0036938032,0.14773665,
-0.0014944398,0.0032863915,0.14562353,
-0.001988255,0.0014523023,0.14488846,
-0.0021421025,7.1905367E-4,0.14431193,
-0.0026982385,2.5954656E-4,0.14626104,
-0.0015273732,0.001023364,0.14683609,
-0.0020935917,3.3128075E-5,0.14563325,
-0.0025394033,2.095406E-4,0.14792821,
-0.001963139,3.3336924E-5,0.14805113,
-0.0016187616,-1.6191322E-4,0.14934999,
-0.0016607218,-0.0014214779,0.14929464,
-0.0012161792,-0.0013132519,0.14961812,
-0.0017485106,-4.4725463E-4,0.14980584,
-9.389622E-4,-7.7925995E-4,0.14893258,
-2.9960275E-4,-9.155369E-4,0.14919387,
5.4220203E-4,-0.0012707498,0.14926448,
6.7304634E-4,-3.5731308E-4,0.14780805,
0.0010811747,-3.4962455E-4,0.145779,
2.8738147E-4,-1.8545217E-4,0.14610933,
