device_mac,rssi_mon1,rssi_mon2,rssi_mon3,timestamp
b0:47:bf:92:74:97,-41,-41,-45,1551287215
b0:47:bf:92:74:97,-41,-41,-45,1551287215
b0:47:bf:92:74:97,-41,-41,-45,1551287215
b0:47:bf:92:74:97,-41,-41,-45,1551287215
b0:47:bf:92:74:97,-41,-41,-45,1551287215
b0:47:bf:92:74:97,-41,-41,-45,1551287215
b0:47:bf:92:74:97,-41,-41,-45,1551287215
b0:47:bf:92:74:97,-41,-41,-45,1551287215
b0:47:bf:92:74:97,-41,-41,-45,1551287224
b0:47:bf:92:74:97,-41,-41,-45,1551287224
b0:47:bf:92:74:97,-41,-39,-43,1551287224
b0:47:bf:92:74:97,-41,-39,-45,1551287224
b0:47:bf:92:74:97,-41,-39,-45,1551287224
b0:47:bf:92:74:97,-41,-41,-43,1551287224
b0:47:bf:92:74:97,-41,-41,-45,1551287224
b0:47:bf:92:74:97,-41,-41,-45,1551287224
b0:47:bf:92:74:97,-41,-39,-43,1551287224
b0:47:bf:92:74:97,-41,-39,-45,1551287224
b0:47:bf:92:74:97,-41,-39,-45,1551287224
b0:47:bf:92:74:97,-41,-43,-43,1551287224
b0:47:bf:92:74:97,-41,-43,-45,1551287224
b0:47:bf:92:74:97,-41,-43,-45,1551287224
b0:47:bf:92:74:97,-41,-41,-45,1551287227
b0:47:bf:92:74:97,-41,-41,-45,1551287233
b0:47:bf:92:74:97,-41,-41,-45,1551287233
b0:47:bf:92:74:97,-41,-41,-45,1551287242
b0:47:bf:92:74:97,-41,-41,-45,1551287242
b0:47:bf:92:74:97,-41,-41,-45,1551287242
b0:47:bf:92:74:97,-41,-41,-45,1551287242
b0:47:bf:92:74:97,-41,-41,-45,1551287242
b0:47:bf:92:74:97,-41,-41,-45,1551287242
b0:47:bf:92:74:97,-41,-43,-45,1551287245
b0:47:bf:92:74:97,-41,-43,-45,1551287245
b0:47:bf:92:74:97,-41,-43,-45,1551287245
b0:47:bf:92:74:97,-41,-43,-45,1551287245
b0:47:bf:92:74:97,-41,-41,-45,1551287245
b0:47:bf:92:74:97,-41,-41,-45,1551287245
b0:47:bf:92:74:97,-41,-41,-45,1551287245
b0:47:bf:92:74:97,-41,-41,-45,1551287245
b0:47:bf:92:74:97,-41,-43,-45,1551287245
