x,y,meanX,meanY,covarainceX,covarianceY
0.1219936,0.007469118,-0.117049734,0.328790387,0.172484584,0.783871974
-0.9925309,1.1219935,,,,
-0.08149195,-0.64441323,,,,
-0.08149195,0.64441323,,,,
-0.25846678,0.033979833,,,,
0.96602017,1.2584667,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
-0.08149195,-0.64441323,,,,
-0.08149195,0.64441323,,,,
-0.25551993,-0.09253603,,,,
1.092536,1.2555199,,,,
0.1219936,0.007469118,,,,
-0.9925309,1.1219935,,,,
-0.08149195,-0.64441323,,,,
-0.08149195,0.64441323,,,,
-0.25846678,0.033979833,,,,
0.96602017,1.2584667,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
-0.08149195,-0.64441323,,,,
-0.08149195,0.64441323,,,,
-0.25551993,-0.09253603,,,,
1.092536,1.2555199,,,,
0.1219936,0.007469118,,,,
-0.9925309,1.1219935,,,,
-0.08149195,-0.64441323,,,,
-0.08149195,0.64441323,,,,
-0.25846678,0.033979833,,,,
0.96602017,1.2584667,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
-0.08149195,-0.64441323,,,,
-0.08149195,0.64441323,,,,
-0.25551993,-0.09253603,,,,
1.092536,1.2555199,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
-0.033979833,-0.25846678,,,,
-1.2584667,0.96602017,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
0.1219936,0.007469118,,,,
-0.9925309,1.1219935,,,,
0.09253603,-0.25551993,,,,
-1.2555199,1.092536,,,,
0.11600548,-0.11600548,,,,
-1.1160054,1.1160054,,,,
