accel_x,accel_y,accel_z,variance,variance,mean_x,mean_y,covarianceX,covarianceY,whiteNoiseX,whiteNoiseY
0.001212743,8.99E-04,0.14788106,,,,,,,,
0.003237798,0.001104044,0.14471625,,,,,,,,
0.003370076,7.01E-04,0.14628755,,,,,,,,
0.002426298,6.66E-04,0.14782445,,,,,,,,
0.001506558,5.27E-04,0.14989626,,,,,,,,
0.00266306,0.001542859,0.14792942,,,,,,,,
0.004141665,0.002038921,0.14644574,,,,,,,,
0.001659653,0.001611178,0.14727165,,,,,,,,
0.002351925,0.003027064,0.15015931,,,,,,,,
0.003095465,0.001955433,0.15049243,,,,,,,,
0.003205234,0.002496163,0.1479351,,,,,,,,
0.003235943,0.001673715,0.14657752,,,,,,,,
0.003625678,0.001466404,0.14668384,,,,,,,,
0.00102654,0.001679582,0.14974463,,,,,,,,
4.92E-04,0.00284177,0.14989004,,,,,,,,
3.60E-05,0.002299116,0.14841494,,,,,,,,
-2.92E-04,0.003699491,0.1488341,,,,,,,,
5.62E-05,0.003888078,0.15128364,,,,,,,,
2.60E-04,0.002825818,0.15189974,,,,,,,,
-0.001292751,0.002158313,0.15029895,,,,,,,,
-0.0011663,9.37E-04,0.14799787,,,,,,,,
-7.50E-05,0.001529533,0.14831388,,,,,,,,
-0.002665837,0.002807902,0.15145652,,,,,,,,
-0.002321926,0.002433508,0.15170267,,,,,,,,
-0.00302609,0.002133031,0.14870012,,,,,,,,
-0.002415125,0.002682896,0.14771123,,,,,,,,
-0.001954902,0.002571507,0.14870524,,,,,,,,
-0.001310643,8.35E-04,0.14909418,,,,,,,,
-4.00E-04,7.96E-04,0.14870661,,,,,,,,
2.90E-04,7.49E-04,0.14492212,,,,,,,,
0.001381741,2.75E-04,0.1444998,,,,,,,,
3.83E-04,3.92E-04,0.14782667,,,,,,,,
0.001727928,-0.001078402,0.14954112,,,,,,,,
-3.22E-04,-0.001039405,0.14828865,,,,,,,,
-0.001062748,0.001522104,0.14636178,,,,,,,,
-2.66E-04,0.001211425,0.14915048,,,,,,,,
-0.002599165,0.001483875,0.15256411,,,,,,,,
-0.003725448,0.002550722,0.1527808,,,,,,,,
-0.002155119,0.002748363,0.14926352,,,,,,,,
-0.001892453,0.00229128,0.14910352,,,,,,,,
-0.001845594,0.00123888,0.15088078,,,,,,,,
5.72E-04,0.001055911,0.15259889,,,,,,,,
0.001240061,0.001138713,0.14803483,,,,,,,,
1.42E-04,0.001989065,0.14733042,,,,,,,,
6.50E-04,0.001517764,0.14704883,,,,,,,,
-2.28E-05,1.45E-04,0.1512619,,,,,,,,
-0.001487165,8.19E-04,0.151354,,,,,,,,
-0.001063095,0.001292122,0.14826348,,,,,,,,
-1.70E-04,0.001970163,0.14650063,,,,,,,,
7.57E-05,0.001367026,0.14759144,,,,,,,,
0.001288333,0.001437053,0.14880352,,,,,,,,
5.48E-04,0.001519027,0.14731623,,,,,,,,
